"Username","Date","Rating","Comment","Link"
"cereal Dieter",3/5/2018 7:02:44 AM,"none","First video of yours I've seen! I love how real you are! :) Subscribed!","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgzOiqJd66mzPdtKUz54AaABAg"
"Roy Y",3/5/2018 1:36:14 AM,"none","4:20 you spilled one piece of spunach","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgykiY4-WX5_rLPquhh4AaABAg"
"Fluffymiyster",3/5/2018 1:35:55 AM,"none","For three meals for two people with HelloFresh, I'd pay about $60 a week, so $20 a meal. Hm. If I times that by four, that's $240 in one month with them. I maybe spend about $100 to $150 monthly on food for me and my brother though I might be able to find ways to cut that down. So, as awesome as the convenience is, I think I'm going to stick with normal shopping. I like shopping anyways but I wanted to see if it'd save me any money. Even if I only did it two weeks out of a month, three meals a week would be $120, nearly the amount I spend for an entire month. I might still try it once but this indeed is a bit rich for my pockets.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgyGrkVZi01kL_Ig0pt4AaABAg"
"Kim Murray",3/4/2018 10:32:09 PM,"none","Thanks for the video, so many subscription meal boxes these days.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwxyIz3ccLX6ioKqIl4AaABAg"
"Tubba Rocks",3/4/2018 11:52:38 AM,"none","My problem with these meals like this is it costs WAYYY too much. Some nights of the week we have to feed 9 people, 6 of which are grown adults. A shopping trip of about 120 dollars lasts us a whole week. These meals are for like 3 days. It just wouldn't work for us.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgwdR2LZryDofphAZCp4AaABAg"
"Tamara Laird",3/4/2018 12:09:47 AM,"none","I joined Hello because the recipes would be something I would say I would try and never did. If it came to me in a box I would 100% have to make them. I have made things, I still make today. Things I would never tried and loved.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgybZFWHDgp_G8k5Djx4AaABAg"
"Tina",3/3/2018 1:51:08 PM,"none","When I was on my own, I did Blue Apron for 4 months.  It would have been exorbitant to feed a family that way, but for one woman it saved enough shopping time that it saved money (food & gas & time, plus not having to buy oversized packages).  I do think the pasta dishes were significantly overpriced.  The meats were high quality.","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=Ugy2pxUViNbm_4GhvtF4AaABAg"
"SharonFavorite",3/3/2018 6:46:10 AM,"none","Honestly people save your money","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgzwVa92xpJL0ha8s3R4AaABAg"
"S.Nicole",3/3/2018 6:42:03 AM,"none","When I saw it was 2 am I knew u understood me lmao. #teaminsomnia lol","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgyNUtJUkKLCF3qdEGd4AaABAg"
"Rebecca Copeland",3/3/2018 12:07:12 AM,"none","I’m a new subbie; my first video . TFS. Becky out of Miami. 🌞🏝🏊🏽‍♀️🏖💃🏽😎","https://www.youtube.com/watch?v=mGK86tWMFjk&lc=UgzZ3WP3gv74nCzQDY94AaABAg"
