"Username","Date","Rating","Comment","Link"
"Apel Mahmud",6/4/2018 2:56:38 PM,"none","Nothing to say except praying. Insa Allah , Allah will Grant zanntul ferdous to you.","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzZ68iphGTSbcAe9Mx4AaABAg"
"sara naz",6/4/2018 2:07:41 PM,"none","in sha allah ali banat to go jannat","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugzy1Ug2Y98yMcXopwx4AaABAg"
"sara naz",6/4/2018 2:06:45 PM,"none","I love you ali banat","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxNA1AoMtqHCQxra-d4AaABAg"
"Noah atwood",6/4/2018 1:23:51 PM,"none","subhanAllah so inspirational may Allah grant him jannat ul firdaus Aameen ❤","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugw6oOTDxIcpFFOeqcx4AaABAg"
"EMON AL-shariar",6/4/2018 12:57:23 PM,"none","i learn from you brother !  .........","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgyRwytT0KkxOktxfxx4AaABAg"
"Noah Ark",6/4/2018 11:50:26 AM,"none","La illaha illa Allahu!!!   لاَ اِلهَ إِلاَّ اللَّهُ","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzUuKTw3ZKDzFUhUQ14AaABAg"
"shija tk",6/4/2018 9:44:07 AM,"none","Where was his wife after he heard about cancer.ali banath was a nice hearted man.why that girl went after hearing his dicease.most of the cancer patients face this reaction after receiving this dicese.neglection fear everything made this relatives keep distance.but Ali banath was the courageous boy who did alot of things to the poor in the world.he underlined his name in the world as the founder of matw.saluting his great deed to poor Muslims.","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzclMGOBv2s_Qlc1YJ4AaABAg"
"ALL CLASER",6/4/2018 7:18:35 AM,"none","9879096758","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgyGcAkG-H6d3VrDNxV4AaABAg"
"Raph shahzad Khan",6/4/2018 2:54:21 AM,"none","We ll missed u","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugy84SquUmHwjbgOYhB4AaABAg"
"Farida Badaoui",6/4/2018 2:33:49 AM,"none","الله يرحمه","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxoRbePJyVKt2aJp7V4AaABAg"
"MD ALMASUDDIN",6/4/2018 12:26:13 AM,"none","Love from india
Allahu ta'la aapko jannat ka darja de
Yahaan sab faani h
Sab ko 1 na 1 din fanaa hona h
Hum insaano se itna gehra rishta jodlete h k hame maut se dar lagne lagta h
Rishte tootne se dar lagta h
Par jab maut hoti h sab toot jaata h
Yahaan koi kisika nahi hota
Beshak hame humse zyada quda jaanne waala h","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzOzhI-4j0rJOIOgWV4AaABAg"
"اكرم شمروح",6/3/2018 10:34:01 PM,"none","الله يرحمك يا اخى والله حبيتك فى الله و بكيت عليك نظرة فى عينك تحسسنى انى اعرفك من زمان و كنت صديق لى الف رحمة و نور عليك الله يغفر لك يا رب تجاوز عن عبدك على يا ارحمن الرحمين يا الله","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgyJxL1OjzAhSHsy6kZ4AaABAg"
"Jade Danson",6/3/2018 9:27:27 PM,"none","one of our best brother (Ali)","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgzHNOGwE5PjQRZr5GR4AaABAg"
"mahmoud ebrahim",6/3/2018 9:05:06 PM,"none","يقول ادعولى","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwzOETvYNPeR9jN5SN4AaABAg"
"NOUR 13",6/3/2018 8:49:10 PM,"none","كلامهم إنجليزي و زد تترجم لينا ب الإنجليزي ربي يسامحك","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugzsap3-WsjwAANR3354AaABAg"
